season,abbreviation,playoffs,x3p,x3p_percent,x3pa,pts
2010,POR,1,491,0.354,1388,8045
2010,SAC,0,482,0.349,1383,8200
2010,SAS,1,554,0.358,1547,8312
2010,TOR,0,518,0.371,1397,8534
2010,UTA,1,439,0.364,1207,8547
2010,WAS,0,432,0.353,1225,7892
2009,ATL,1,597,0.366,1633,8046
2009,BOS,1,538,0.397,1355,8275
2009,CHA,0,490,0.366,1339,7677
2009,CHI,1,493,0.381,1293,8378
2009,CLE,1,656,0.393,1670,8223
2009,DAL,1,571,0.35,1632,8343
2009,DEN,1,548,0.371,1477,8555
2009,DET,1,377,0.349,1079,7727
2009,GSW,0,550,0.373,1475,8905
2009,HOU,1,621,0.375,1656,8070
2009,IND,0,652,0.378,1725,8617
2009,LAC,0,535,0.354,1513,7799
2009,LAL,1,547,0.361,1516,8768
2009,MEM,0,398,0.36,1106,7698
2009,MIA,1,582,0.357,1631,8061
2009,MIL,0,511,0.363,1408,8142
2009,MIN,0,543,0.353,1539,8019
2009,NJN,0,652,0.376,1735,8044
2009,NOH,1,556,0.364,1526,7857
2009,NYK,0,823,0.36,2284,8627
2009,OKC,0,328,0.346,949,7952
2009,ORL,1,817,0.381,2147,8286
2009,PHI,1,341,0.318,1072,7987
2009,PHO,0,553,0.383,1445,8974
2009,POR,1,596,0.383,1555,8153
2009,SAC,0,586,0.368,1594,8248
2009,SAS,1,625,0.386,1620,7958
2009,TOR,0,479,0.372,1289,8121
2009,UTA,1,392,0.349,1122,8492
2009,WAS,0,395,0.33,1198,7877
2008,ATL,1,384,0.356,1078,8054
2008,BOS,1,596,0.381,1564,8245
2008,CHA,0,529,0.367,1443,7959
2008,CHI,0,474,0.363,1305,7981
2008,CLE,1,552,0.358,1544,7903
2008,DAL,1,494,0.352,1403,8234
2008,DEN,1,569,0.355,1605,9074
2008,DET,1,487,0.366,1330,7992
2008,GSW,0,761,0.348,2185,9105
2008,HOU,1,583,0.342,1707,7931
2008,IND,0,755,0.374,2021,8527
2008,LAC,0,350,0.324,1079,7692
2008,LAL,1,662,0.378,1751,8904
2008,MEM,0,620,0.349,1779,8257
2008,MIA,0,491,0.358,1373,7491
2008,MIL,0,452,0.344,1313,7956
2008,MIN,0,441,0.35,1259,7839
2008,NJN,0,498,0.348,1430,7857
2008,NOH,1,630,0.389,1621,8270
2008,NYK,0,490,0.337,1454,7948
2008,ORL,1,801,0.386,2074,8567
2008,PHI,1,302,0.317,952,7923
2008,PHO,1,694,0.393,1764,9026
2008,POR,0,538,0.377,1426,7820
2008,SAC,0,510,0.373,1367,8408
2008,SAS,1,594,0.369,1610,7820
2008,SEA,0,313,0.333,939,7999
2008,TOR,1,572,0.392,1459,8215
2008,UTA,1,407,0.372,1095,8710
2008,WAS,1,575,0.356,1614,8104
2007,ATL,0,341,0.329,1038,7680
2007,BOS,0,471,0.367,1283,7857
2007,CHA,0,457,0.357,1280,7945
2007,CHI,1,480,0.388,1237,8100
2007,CLE,1,494,0.352,1404,7934
2007,DAL,1,535,0.381,1404,8201
2007,DEN,1,484,0.336,1440,8639
2007,DET,1,449,0.344,1305,7872
2007,GSW,1,700,0.356,1967,8737
2007,HOU,1,705,0.372,1893,7953
2007,IND,0,481,0.346,1389,7840
2007,LAC,0,314,0.348,903,7843
2007,LAL,1,608,0.353,1724,8474
2007,MEM,0,500,0.367,1362,8331
2007,MIA,1,528,0.343,1539,7759
2007,MIL,0,524,0.356,1472,8172
2007,MIN,0,384,0.353,1089,7877
2007,NJN,1,609,0.363,1676,8001
2007,NOK,0,455,0.362,1256,7833
2007,NYK,0,474,0.346,1370,7994
2007,ORL,1,342,0.356,962,7771
2007,PHI,0,284,0.345,823,7785
2007,PHO,1,785,0.399,1965,9037
2007,POR,0,426,0.346,1232,7717
2007,SAC,0,530,0.35,1513,8303
2007,SAS,1,595,0.381,1561,8079
2007,SEA,0,525,0.362,1451,8130
2007,TOR,1,531,0.363,1464,8157
2007,UTA,1,354,0.335,1056,8322
2007,WAS,1,561,0.348,1614,8556
2006,ATL,0,424,0.367,1154,7972
2006,BOS,0,467,0.362,1290,8033
2006,CHA,0,428,0.339,1261,7943
2006,CHI,1,560,0.379,1477,8020
2006,CLE,1,497,0.339,1465,8002
2006,DAL,1,416,0.374,1113,8130
2006,DEN,1,350,0.325,1076,8227
2006,DET,1,557,0.384,1451,7941
2006,GSW,0,625,0.341,1832,8076
2006,HOU,0,469,0.332,1414,7387
2006,IND,1,536,0.349,1536,7699
2006,LAC,1,290,0.344,843,7970
2006,LAL,1,552,0.349,1583,8154
2006,MEM,1,590,0.374,1578,7558
2006,MIA,1,497,0.345,1441,8191
2006,MIL,1,507,0.38,1335,8020
2006,MIN,0,310,0.329,942,7522
2006,NJN,1,477,0.33,1447,7691
2006,NOK,0,300,0.339,885,7611
2006,NYK,0,320,0.362,884,7842
2006,ORL,0,299,0.376,796,7784
2006,PHI,0,375,0.364,1031,8147
2006,PHO,1,837,0.399,2097,8886
2006,POR,0,364,0.349,1042,7285
2006,SAC,1,494,0.351,1408,8106
2006,SAS,1,524,0.385,1362,7837
2006,SEA,0,605,0.371,1631,8411
2006,TOR,0,608,0.375,1620,8287
2006,UTA,0,311,0.336,925,7573
2006,WAS,1,497,0.357,1394,8336
2005,ATL,0,304,0.312,973,7605
2005,BOS,1,437,0.349,1252,8304
2005,CHA,0,320,0.363,881,7729
2005,CHI,1,511,0.357,1433,7745
2005,CLE,0,300,0.332,904,7914
2005,DAL,1,463,0.364,1273,8405
2005,DEN,1,320,0.34,940,8161
2005,DET,1,363,0.345,1053,7653
2005,GSW,0,624,0.352,1774,8094
2005,HOU,1,553,0.364,1521,7796
2005,IND,1,542,0.344,1575,7626
2005,LAC,0,231,0.345,669,7849
2005,LAL,0,644,0.355,1813,8095
2005,MEM,1,531,0.357,1486,7661
2005,MIA,1,475,0.377,1260,8327
2005,MIL,0,325,0.351,925,7973
2005,MIN,0,395,0.345,1145,7934
2005,NJN,1,435,0.362,1203,7496
2005,NOH,0,415,0.315,1316,7252
2005,NYK,0,441,0.356,1240,7977
2005,ORL,0,320,0.349,916,8160
2005,PHI,1,505,0.348,1453,8128
2005,PHO,1,796,0.393,2026,9054
2005,POR,0,420,0.362,1161,7621
2005,SAC,1,522,0.374,1396,8505
2005,SAS,1,507,0.363,1395,7888
2005,SEA,1,666,0.365,1824,8113
2005,TOR,0,648,0.385,1681,8178
2005,UTA,0,250,0.328,762,7625
2005,WAS,1,514,0.343,1498,8241
2004,ATL,0,419,0.335,1249,7611
2004,BOS,1,553,0.346,1599,7811
2004,CHI,0,429,0.342,1256,7355
2004,CLE,0,247,0.314,786,7619
2004,DAL,1,507,0.348,1456,8626
